file_name,classes,xmin,ymin,xmax,ymax
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0679.jpg,abraham_grampa_simpson,109,24,285,290
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0699.jpg,principal_skinner,124,0,293,196
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0279.jpg,charles_montgomery_burns,54,73,203,182
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1152.jpg,nelson_muntz,164,30,277,208
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0221.jpg,abraham_grampa_simpson,98,10,241,294
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_0403.jpg,moe_szyslak,103,22,221,230
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0969.jpg,ned_flanders,128,23,299,253
/content/gdrive/My Drive/simpsons/bounding_data/sideshow_bob/pic_0628.jpg,sideshow_bob,38,0,274,273
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0954.jpg,marge_simpson,84,6,224,220
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1106.jpg,krusty_the_clown,21,39,249,267
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_1284.jpg,ned_flanders,167,22,299,252
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0624.jpg,marge_simpson,200,17,292,202
/content/gdrive/My Drive/simpsons/bounding_data/milhouse_van_houten/pic_0517.jpg,milhouse_van_houten,106,76,209,236
/content/gdrive/My Drive/simpsons/bounding_data/milhouse_van_houten/pic_0814.jpg,milhouse_van_houten,94,5,252,263
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0853.jpg,charles_montgomery_burns,103,4,231,215
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1203.jpg,krusty_the_clown,0,15,185,186
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1203.jpg,krusty_the_clown,8,1,133,148
/content/gdrive/My Drive/simpsons/bounding_data/apu_nahasapeemapetilon/pic_0158.jpg,apu_nahasapeemapetilon,135,6,285,247
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_0720.jpg,krusty_the_clown,107,56,187,186
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1119.jpg,principal_skinner,22,21,139,140
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1119.jpg,charles_montgomery_burns,19,99,161,243
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1119.jpg,nelson_muntz,19,16,152,248
/content/gdrive/My Drive/simpsons/bounding_data/edna_krabappel/pic_0127.jpg,edna_krabappel,125,16,277,217
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_2183.jpg,homer_simpson,100,0,216,214
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0759.jpg,charles_montgomery_burns,54,52,188,165
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_1872.jpg,homer_simpson,83,8,258,233
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_1872.jpg,homer_simpson,117,11,247,156
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_1081.jpg,ned_flanders,179,13,299,202
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_0253.jpg,moe_szyslak,85,56,170,247
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1090.jpg,principal_skinner,121,63,198,199
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1090.jpg,principal_skinner,103,56,206,287
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0335.jpg,principal_skinner,103,9,156,142
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0867.jpg,charles_montgomery_burns,73,41,161,203
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0088.jpg,ned_flanders,12,64,157,237
/content/gdrive/My Drive/simpsons/bounding_data/edna_krabappel/pic_0291.jpg,edna_krabappel,41,1,177,155
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0508.jpg,charles_montgomery_burns,85,58,247,183
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0508.jpg,charles_montgomery_burns,51,42,247,250
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_1388.jpg,ned_flanders,46,29,200,183
/content/gdrive/My Drive/simpsons/bounding_data/milhouse_van_houten/pic_0174.jpg,milhouse_van_houten,89,7,230,272
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_1182.jpg,moe_szyslak,98,43,170,198
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0951.jpg,moe_szyslak,65,111,166,230
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_1270.jpg,bart_simpson,61,0,227,286
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0165.jpg,abraham_grampa_simpson,161,34,285,276
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0165.jpg,homer_simpson,158,19,298,248
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0430.jpg,lisa_simpson,91,80,209,254
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0766.jpg,abraham_grampa_simpson,130,19,215,231
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0032.jpg,bart_simpson,96,104,244,275
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0726.jpg,bart_simpson,95,19,261,205
/content/gdrive/My Drive/simpsons/bounding_data/edna_krabappel/pic_0037.jpg,edna_krabappel,32,0,138,120
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0238.jpg,lisa_simpson,88,22,230,229
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0238.jpg,sideshow_bob,0,0,300,269
/content/gdrive/My Drive/simpsons/bounding_data/milhouse_van_houten/pic_1012.jpg,milhouse_van_houten,105,0,300,300
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0241.jpg,ned_flanders,152,43,250,178
/content/gdrive/My Drive/simpsons/bounding_data/comic_book_guy/pic_0402.jpg,comic_book_guy,43,32,198,166
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0140.jpg,lisa_simpson,75,43,182,251
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0418.jpg,abraham_grampa_simpson,73,12,159,219
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0418.jpg,lisa_simpson,176,64,246,198
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0486.jpg,charles_montgomery_burns,82,38,207,157
/content/gdrive/My Drive/simpsons/bounding_data/edna_krabappel/pic_0331.jpg,edna_krabappel,127,25,257,170
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_0339.jpg,homer_simpson,114,83,208,231
/content/gdrive/My Drive/simpsons/bounding_data/apu_nahasapeemapetilon/pic_0049.jpg,edna_krabappel,16,21,125,166
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0474.jpg,abraham_grampa_simpson,88,29,259,249
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_1025.jpg,ned_flanders,107,14,222,255
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0462.jpg,lisa_simpson,147,79,262,198
/content/gdrive/My Drive/simpsons/bounding_data/comic_book_guy/pic_0408.jpg,comic_book_guy,54,11,233,186
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0318.jpg,marge_simpson,41,0,206,280
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0872.jpg,bart_simpson,82,46,190,269
/content/gdrive/My Drive/simpsons/bounding_data/chief_wiggum/pic_0607.jpg,chief_wiggum,64,34,244,288
/content/gdrive/My Drive/simpsons/bounding_data/chief_wiggum/pic_0607.jpg,sideshow_bob,51,8,283,239
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_1887.jpg,homer_simpson,60,20,202,290
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0694.jpg,abraham_grampa_simpson,137,38,295,268
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1035.jpg,principal_skinner,94,14,217,258
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0305.jpg,ned_flanders,160,42,297,213
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_0551.jpg,homer_simpson,75,10,273,263
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_0551.jpg,abraham_grampa_simpson,68,19,270,285
/content/gdrive/My Drive/simpsons/bounding_data/sideshow_bob/pic_0206.jpg,sideshow_bob,70,0,261,241
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0479.jpg,ned_flanders,100,72,235,205
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_1018.jpg,marge_simpson,3,2,156,182
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_1018.jpg,marge_simpson,8,0,218,265
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0538.jpg,marge_simpson,34,0,209,254
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0064.jpg,bart_simpson,54,66,259,279
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_1143.jpg,charles_montgomery_burns,137,11,254,218
/content/gdrive/My Drive/simpsons/bounding_data/milhouse_van_houten/pic_0278.jpg,milhouse_van_houten,30,5,211,191
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0168.jpg,abraham_grampa_simpson,80,60,265,246
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_0534.jpg,homer_simpson,22,9,271,283
/content/gdrive/My Drive/simpsons/bounding_data/nelson_muntz/pic_0192.jpg,nelson_muntz,95,12,295,225
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0008.jpg,principal_skinner,119,6,198,157
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0122.jpg,marge_simpson,158,6,300,225
/content/gdrive/My Drive/simpsons/bounding_data/nelson_muntz/pic_0039.jpg,nelson_muntz,54,0,251,122
/content/gdrive/My Drive/simpsons/bounding_data/nelson_muntz/pic_0039.jpg,nelson_muntz,19,0,249,255
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0163.jpg,marge_simpson,113,3,292,226
/content/gdrive/My Drive/simpsons/bounding_data/apu_nahasapeemapetilon/pic_0319.jpg,apu_nahasapeemapetilon,34,63,128,194
/content/gdrive/My Drive/simpsons/bounding_data/apu_nahasapeemapetilon/pic_0319.jpg,apu_nahasapeemapetilon,22,49,170,277
/content/gdrive/My Drive/simpsons/bounding_data/edna_krabappel/pic_0232.jpg,edna_krabappel,145,35,246,153
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_0099.jpg,homer_simpson,68,24,183,247
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0162.jpg,abraham_grampa_simpson,78,18,243,198
/content/gdrive/My Drive/simpsons/bounding_data/kent_brockman/pic_0477.jpg,kent_brockman,109,38,292,234
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0745.jpg,lisa_simpson,50,20,266,241
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0969.jpg,lisa_simpson,94,118,217,256
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0042.jpg,marge_simpson,28,39,123,199
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0042.jpg,marge_simpson,43,63,106,156
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_1136.jpg,bart_simpson,25,97,199,267
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0278.jpg,charles_montgomery_burns,93,35,230,252
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0622.jpg,principal_skinner,77,45,186,140
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0622.jpg,principal_skinner,64,41,196,202
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_0877.jpg,krusty_the_clown,86,4,248,288
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0431.jpg,ned_flanders,58,38,211,246
/content/gdrive/My Drive/simpsons/bounding_data/edna_krabappel/pic_0144.jpg,edna_krabappel,135,13,290,160
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_1999.jpg,homer_simpson,84,27,213,242
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0957.jpg,charles_montgomery_burns,3,39,144,181
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_0277.jpg,moe_szyslak,18,1,238,233
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_0081.jpg,homer_simpson,0,43,212,267
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0001.jpg,principal_skinner,84,2,213,204
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0001.jpg,principal_skinner,77,0,172,149
/content/gdrive/My Drive/simpsons/bounding_data/comic_book_guy/pic_0021.jpg,comic_book_guy,92,0,213,99
/content/gdrive/My Drive/simpsons/bounding_data/comic_book_guy/pic_0021.jpg,comic_book_guy,44,0,175,89
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_1031.jpg,charles_montgomery_burns,83,19,232,232
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_0666.jpg,homer_simpson,73,28,279,262
/content/gdrive/My Drive/simpsons/bounding_data/edna_krabappel/pic_0265.jpg,edna_krabappel,5,72,121,190
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0928.jpg,principal_skinner,109,22,262,265
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_0612.jpg,moe_szyslak,3,23,165,176
/content/gdrive/My Drive/simpsons/bounding_data/chief_wiggum/pic_0430.jpg,chief_wiggum,2,27,196,205
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0477.jpg,abraham_grampa_simpson,119,71,281,232
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0857.jpg,lisa_simpson,78,23,265,267
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_1207.jpg,ned_flanders,75,47,206,281
/content/gdrive/My Drive/simpsons/bounding_data/kent_brockman/pic_0105.jpg,kent_brockman,40,43,123,179
/content/gdrive/My Drive/simpsons/bounding_data/kent_brockman/pic_0105.jpg,kent_brockman,15,50,155,208
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_1384.jpg,moe_szyslak,35,0,279,203
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_1384.jpg,principal_skinner,18,0,222,183
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1119.jpg,krusty_the_clown,36,20,172,206
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1119.jpg,krusty_the_clown,28,4,144,141
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_1002.jpg,bart_simpson,24,7,220,255
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_1002.jpg,charles_montgomery_burns,9,0,226,262
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_1026.jpg,charles_montgomery_burns,130,26,291,220
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0731.jpg,lisa_simpson,11,68,195,241
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0795.jpg,ned_flanders,125,7,300,264
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0230.jpg,marge_simpson,0,6,196,245
/content/gdrive/My Drive/simpsons/bounding_data/edna_krabappel/pic_0365.jpg,edna_krabappel,31,31,221,230
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0063.jpg,bart_simpson,75,139,214,287
/content/gdrive/My Drive/simpsons/bounding_data/milhouse_van_houten/pic_0170.jpg,milhouse_van_houten,101,13,230,242
/content/gdrive/My Drive/simpsons/bounding_data/milhouse_van_houten/pic_0170.jpg,bart_simpson,100,36,233,261
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0203.jpg,marge_simpson,118,3,204,200
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0203.jpg,lisa_simpson,176,128,233,244
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0670.jpg,abraham_grampa_simpson,16,70,185,295
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0191.jpg,principal_skinner,176,33,255,177
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0191.jpg,principal_skinner,157,31,270,275
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0004.jpg,abraham_grampa_simpson,112,13,252,229
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0004.jpg,abraham_grampa_simpson,139,19,243,151
/content/gdrive/My Drive/simpsons/bounding_data/kent_brockman/pic_0111.jpg,kent_brockman,72,50,270,182
/content/gdrive/My Drive/simpsons/bounding_data/kent_brockman/pic_0111.jpg,kent_brockman,108,52,241,149
/content/gdrive/My Drive/simpsons/bounding_data/kent_brockman/pic_0111.jpg,kent_brockman,51,56,278,286
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0108.jpg,abraham_grampa_simpson,82,76,200,244
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_0592.jpg,moe_szyslak,43,24,228,178
/content/gdrive/My Drive/simpsons/bounding_data/nelson_muntz/pic_0094.jpg,nelson_muntz,70,6,220,141
/content/gdrive/My Drive/simpsons/bounding_data/nelson_muntz/pic_0094.jpg,nelson_muntz,17,4,217,240
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_0909.jpg,krusty_the_clown,88,12,226,272
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0552.jpg,bart_simpson,0,8,208,272
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_0447.jpg,abraham_grampa_simpson,67,29,180,169
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_1466.jpg,homer_simpson,38,0,242,258
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_0000.jpg,homer_simpson,123,31,292,225
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_1488.jpg,homer_simpson,69,72,143,172
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_0488.jpg,krusty_the_clown,69,11,289,236
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_0488.jpg,krusty_the_clown,86,20,262,157
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0301.jpg,charles_montgomery_burns,34,27,203,194
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1101.jpg,krusty_the_clown,36,10,271,221
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0540.jpg,lisa_simpson,65,70,208,196
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0562.jpg,ned_flanders,20,31,246,243
/content/gdrive/My Drive/simpsons/bounding_data/edna_krabappel/pic_0285.jpg,edna_krabappel,93,6,182,209
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_1267.jpg,ned_flanders,27,28,154,219
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1059.jpg,principal_skinner,130,14,236,124
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1059.jpg,principal_skinner,113,19,255,206
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_0101.jpg,krusty_the_clown,18,10,163,237
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_0101.jpg,krusty_the_clown,16,0,126,170
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0234.jpg,marge_simpson,100,4,261,287
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_1164.jpg,milhouse_van_houten,46,105,106,200
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_1164.jpg,bart_simpson,41,110,119,244
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0262.jpg,principal_skinner,39,15,202,178
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_1053.jpg,charles_montgomery_burns,76,73,297,282
/content/gdrive/My Drive/simpsons/bounding_data/sideshow_bob/pic_0619.jpg,sideshow_bob,1,0,176,237
/content/gdrive/My Drive/simpsons/bounding_data/charles_montgomery_burns/pic_0638.jpg,charles_montgomery_burns,117,49,253,187
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0667.jpg,bart_simpson,94,78,266,267
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0395.jpg,bart_simpson,108,30,257,296
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0201.jpg,ned_flanders,144,25,228,227
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_0629.jpg,krusty_the_clown,81,11,231,256
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_0629.jpg,krusty_the_clown,93,19,206,175
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_0892.jpg,moe_szyslak,143,21,221,171
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_1097.jpg,bart_simpson,116,16,236,244
